year,spring.Tmax_C,spring.Tmin_C,spring.PPT_mm,summer.Tmax_C,summer.Tmin_C,summer.PPT_mm,fall.Tmax_C,fall.Tmin_C,fall.PPT_mm,annual.Tmax_C,annual.Tmin_C,annual.PPT_mm,elevation_m,allot_name
2012,11.4798913,-2.191521739,144.22,24.93467391,7.911195652,28.47,12.6756044,-0.935604396,58.83,12.25610959,-1.464438356,0.832136986,2089,Boundary
2013,10.09478261,-3.259565217,68.14,25.4976087,8.762065217,21.99,11.02681319,-1.237912088,81.08,11.00523288,-2.311424658,0.618410959,2089,Boundary
2014,11.37554348,-2.657934783,91.83,22.8751087,7.755108696,123.74,11.82571429,-1.110989011,92.11,11.61967123,-1.520958904,1.091150685,2089,Boundary
2015,12.03347826,-1.586086957,126.24,24.14565217,8.345,89.56,12.06428571,-0.584945055,80.36,12.26432877,-0.805616438,0.964657534,2089,Boundary
2016,11.00358696,-1.674021739,155.05,24.62565217,7.3575,20.58,11.97054945,0.341648352,211.01,11.45810959,-1.523506849,1.369945205,2089,Boundary
2017,10.78543478,-1.765217391,111.54,24.66478261,8.6425,55.3,10.55,-1.72010989,133.98,11.16134247,-1.572849315,1.284712329,2089,Boundary
2018,10.48967391,-2.120217391,211.09,24.11097826,7.804782609,71.49,11.22637363,-1.938241758,40.87,11.37336986,-1.775835616,1.027013699,2089,Boundary
2019,9.563804348,-2.732934783,124.22,23.405,7.260108696,29.72,9.593296703,-3.25,100.42,10.27756164,-2.483369863,1.180821918,2089,Boundary
2020,10.14315217,-3.290869565,79.73,23.95543478,7.805869565,70.86,12.81549451,-1.758791209,54.53,11.53567123,-2.23060274,0.744136986,2089,Boundary
2000,11.12858696,-2.708043478,85.7,25.71445652,6.55076087,25.68,9.370769231,-3.681428571,104.5,11.65731507,-2.601041096,0.806876712,1959,Bull Creek
2001,11.44130435,-3.194456522,107.45,25.03565217,6.589456522,67.92,13.75527473,-0.747802198,75.06,12.23191781,-2.570849315,0.834219178,1959,Bull Creek
2002,9.467065217,-4.770652174,79.94,24.63673913,6.171630435,95.04,11.23791209,-3.313516484,60.59,11.16671233,-3.408109589,0.797863014,1959,Bull Creek
2003,10.68380435,-3.031521739,151.71,26.71271739,7.043804348,40.76,12.57593407,-2.931098901,31.75,12.68810959,-2.328958904,0.873424658,1959,Bull Creek
2004,12.08771739,-2.319130435,113.56,23.44086957,6.000978261,98.56,11.22824176,-2.285164835,86.48,11.68676712,-2.330273973,1.008082192,1959,Bull Creek
2005,10.48956522,-3.076413043,164.05,23.59141304,5.858478261,108.95,12.23879121,-1.94956044,107.45,11.82,-2.532849315,1.170356164,1959,Bull Creek
2006,10.82326087,-3.012826087,116.6,25.94152174,7.25923913,57.3,11.26,-2.268021978,119.5,12.05427397,-2.288356164,1.052054795,1959,Bull Creek
2007,12.75271739,-2.228043478,90.35,27.02826087,7.555434783,66.96,11.60076923,-2.093736264,94.03,12.61580822,-2.196958904,0.886109589,1959,Bull Creek
2008,7.953043478,-5.911413043,112.26,24.80880435,5.579565217,39.01,13.17461538,-1.435714286,67.49,11.06630137,-3.702794521,0.932164384,1959,Bull Creek
2009,9.677173913,-4.42,169.37,22.83641304,6.484673913,147.42,11.9510989,-2.383626374,77.39,11.02649315,-3.066109589,1.191013699,1959,Bull Creek
2010,9.011195652,-4.015652174,171.09,22.72380435,5.504565217,109.75,12.82505495,-1.538791209,82.19,11.20641096,-2.637835616,1.199945205,1959,Bull Creek
2011,7.499891304,-4.638695652,217.72,24.17315217,5.890652174,88.56,12.92813187,-1.93,92.89,10.9069863,-3.263972603,1.290849315,1959,Bull Creek
2012,11.7875,-2.720543478,129.33,26.23,6.87076087,38.62,13.78736264,-1.515164835,67.75,13.12539726,-2.098410959,0.923780822,1959,Bull Creek
